ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3167047,Source1,2,2021-09-23 09:27:37.202903,2021-09-23 11:30:37.202903,44.892228,-93.42503,,-93.433512,0.365,Near enjoy under oil song across still tough.,Robert Fields,Minneapolis,North Jessicafort,MN,92542,US,US/Eastern,KAlT,2021-09-23 09:08:37.202903,90.4,0.0,85.6,28.84,6.0,CALM,10.2,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3409639,Source2,2,2023-08-01 13:39:38.258862,2023-08-01 17:29:38.258862,25.834379,-80.309296,,-80.299134,0.387,Natural improve simple election always stuff.,Emily Springs,Miami,East Johnside,FL,30384,US,US/Eastern,KRof,2023-08-01 13:16:38.258862,28.8,20.722982125472235,67.1,30.68,8.0,E,11.5,,Overcast,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7332627,Source2,2,2025-12-09 02:36:27.429231,2025-12-09 03:37:27.429231,33.75225,-84.527348,,-84.526194,3.052,Realize lay establish heart admit.,Jeremy Fall,Atlanta,Taylorport,GA,42873,US,US/Eastern,KaYm,2025-12-09 02:20:27.429231,34.7,26.312205714824117,80.2,29.14,10.8,N,11.9,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7249667,Source2,2,2023-03-22 11:36:22.958903,2023-03-22 15:11:22.958903,36.130562,-86.712693,,,2.763,Young Republican manager fine.,Jillian Meadows,Nashville,Madisonfurt,TN,66296,US,US/Eastern,Kxgq,2023-03-22 11:23:22.958903,85.8,0.0,96.5,28.45,8.4,W,5.6,0.09,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-365184,Source1,2,2021-12-23 22:58:22.859908,2021-12-24 00:10:22.859908,34.757022,-82.392168,34.757082,-82.393022,1.263,Share suddenly environment cell very color join.,Andrews Port,Greenville,West Kevin,SC,23164,US,US/Eastern,KNEX,2021-12-23 22:32:22.859908,-1.9,0.0,81.1,29.03,6.3,CALM,2.2,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5855592,Source1,2,2018-11-07 06:57:10.485570,2018-11-07 09:35:10.485570,25.769716,-80.391758,,,0.879,True hospital base ok close top peace.,Pamela Keys,Miami,East John,FL,75733,US,US/Eastern,KtlK,2018-11-07 06:28:10.485570,93.2,,39.6,31.78,13.3,Calm,2.8,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5743976,Source2,4,2025-11-02 08:02:53.196075,2025-11-02 10:29:53.196075,29.739353,-95.453737,29.744851,,1.95,Agent learn building within.,Aaron Ridge,Houston,South Steven,TX,84774,US,US/Eastern,KJkf,2025-11-02 07:46:53.196075,28.0,19.308964495155926,73.1,28.59,5.0,WSW,12.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4444231,Source1,2,2020-09-18 02:10:25.778907,2020-09-18 05:16:25.778907,25.796293,-80.311077,25.77927,-80.315229,1.791,Live base bag writer better step perhaps.,Hunt Overpass,Miami,Castrohaven,FL,55265,US,US/Eastern,KjMF,2020-09-18 02:00:25.778907,84.8,0.0,21.8,28.67,8.3,ESE,6.7,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-1200242,Source2,3,2025-08-21 13:11:24.150773,2025-08-21 13:44:24.150773,29.760755,-95.344129,29.767995,-95.353936,1.466,Condition scientist ago foot past tend information.,Bethany Via,Houston,Port Richardfort,TX,97007,US,US/Eastern,KDQP,2025-08-21 12:47:24.150773,60.0,,18.5,31.27,13.4,VAR,12.5,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5724763,Source1,3,2020-01-07 19:53:34.493934,2020-01-07 20:54:34.493934,33.4225,-112.114358,,-112.116545,3.003,Home travel method style music response.,Barrett River,Phoenix,Port Ashlee,AZ,13964,US,US/Eastern,Kynn,2020-01-07 19:26:34.493934,,,98.7,28.62,10.5,NNW,15.3,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-847229,Source1,2,2023-09-17 03:41:32.961151,2023-09-17 04:29:32.961151,36.161922,-86.657588,36.168035,-86.651623,1.673,Trial second customer chance material.,Evans Inlet,Nashville,Port Diane,TN,71351,US,US/Eastern,KYgS,2023-09-17 03:14:32.961151,56.4,0.0,52.4,29.84,7.6,South,12.2,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-202169,Source1,2,2025-04-03 09:10:58.829228,2025-04-03 13:00:58.829228,29.494971,-98.420337,,,2.063,Western building end your election charge north.,Matthew Place,San Antonio,Port Katherine,TX,72900,US,US/Eastern,KCNZ,2025-04-03 08:57:58.829228,49.1,45.54349106842778,44.4,29.18,10.7,SSE,5.1,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1949445,Source1,2,2018-09-04 06:55:39.977076,2018-09-04 10:49:39.977076,30.423222,-91.104204,30.425336,,1.714,Perhaps newspaper save special.,Monica Path,Baton Rouge,South Regina,LA,60480,US,,KmoU,2018-09-04 06:36:39.977076,51.0,0.0,63.4,28.94,4.6,ESE,9.1,0.17,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5382470,Source2,2,2019-07-01 12:14:42.730079,2019-07-01 14:39:42.730079,30.287271,-97.766237,,-97.766315,1.665,Light want century real my energy attack.,Steven Radial,Austin,Robertville,TX,87452,US,US/Eastern,KTbY,2019-07-01 12:04:42.730079,58.3,0.0,78.9,31.24,6.6,NW,1.2,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6400139,Source1,2,2021-01-19 19:47:42.457572,2021-01-19 21:19:42.457572,44.980748,-93.284728,44.966017,-93.294514,0.469,Third manage market style so focus.,Wells Lake,Minneapolis,Erictown,MN,06697,US,US/Eastern,Kfau,2021-01-19 19:27:42.457572,79.9,0.0,41.3,29.37,11.4,W,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-250721,Source2,2,2025-10-23 07:47:28.392483,2025-10-23 10:43:28.392483,32.874315,-96.869147,,-96.860911,0.963,Special trip despite section forget language help security.,Jeffrey Overpass,Dallas,Stephensonport,TX,83870,US,US/Eastern,KWaB,2025-10-23 07:24:28.392483,68.3,0.0,96.8,29.59,7.5,SSE,5.7,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6347217,Source2,2,2023-08-27 03:20:11.093188,2023-08-27 06:57:11.093188,35.81484,-78.547369,,,2.948,Would consider use thing indicate.,Brian Extension,Raleigh,Barronchester,NC,25198,US,US/Eastern,KpGA,2023-08-27 02:57:11.093188,53.6,0.0,72.4,30.27,12.1,NNW,3.2,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1451170,Source1,2,2022-06-24 09:33:02.316023,2022-06-24 11:54:02.316023,32.849123,-96.717468,,-96.719885,0.589,South government try up force institution attention institution.,David Forks,Dallas,Dawnview,TX,52066,US,US/Eastern,KcDR,,37.5,31.28827404362495,33.3,29.27,5.0,CALM,8.8,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2094065,Source2,2,2025-05-28 19:31:57.460873,2025-05-28 21:41:57.460873,30.266622,-81.814076,,-81.826604,3.148,Well will road exist practice trip lay.,John Points,Jacksonville,East Jennifertown,FL,85825,US,US/Eastern,KMHy,2025-05-28 19:06:57.460873,,0.0,59.7,30.15,5.3,North,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-6008755,Source1,4,2025-11-03 12:50:27.666758,2025-11-03 13:24:27.666758,25.841624,-80.306664,25.84186,,0.845,Until theory response line.,Clay Terrace,Miami,New Josephberg,FL,45230,US,US/Eastern,KArI,2025-11-03 12:29:27.666758,100.8,0.0,44.0,27.91,13.7,VAR,10.3,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1115588,Source1,2,2019-07-21 07:37:35.640536,2019-07-21 08:41:35.640536,37.555799,-77.424082,37.559968,-77.420912,0.689,Set during protect find trial sure.,Zachary Prairie,Richmond,Tonyahaven,VA,01849,US,US/Eastern,KkDA,2019-07-21 07:15:35.640536,70.4,,64.3,31.28,6.0,NE,8.6,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6559600,Source1,2,2022-03-06 08:33:37.485615,2022-03-06 09:09:37.485615,34.906468,-82.418503,34.900465,,0.363,Control first radio list education appear.,Stephanie Mountain,Greenville,New Debraton,SC,69850,US,US/Eastern,KmqJ,2022-03-06 08:05:37.485615,85.3,,70.4,28.59,8.4,CALM,8.8,0.3,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8724874,Source2,2,2025-08-04 15:30:48.472147,2025-08-04 17:46:48.472147,29.679379,-95.56129,,,6.007,Time national big local.,Susan Port,Houston,Port Robertbury,TX,58045,US,US/Eastern,KxZX,2025-08-04 15:04:48.472147,30.8,0.0,68.5,29.25,3.4,SSE,3.4,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5858748,Source1,2,2021-10-24 18:24:13.422017,2021-10-24 19:05:13.422017,36.12289,-86.795534,,-86.808555,1.991,Still without cultural.,Pierce Park,Nashville,East Daisyport,TN,51792,US,US/Eastern,Kkus,2021-10-24 18:13:13.422017,105.3,0.0,60.7,31.63,7.8,WNW,8.7,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-8575186,Source1,4,2026-01-12 17:47:26.249150,2026-01-12 19:21:26.249150,34.090579,-118.294629,34.082986,-118.28395,1.28,Professional lay sure marriage available hundred.,John Stravenue,Los Angeles,North Jasonview,CA,85765,US,US/Eastern,KlYZ,2026-01-12 17:26:26.249150,41.1,0.0,56.7,28.29,8.4,N,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8531803,Source1,2,2018-04-14 07:06:21.854057,2018-04-14 09:38:21.854057,32.021912,-110.921824,,,0.585,Mrs glass under health number describe.,Stanley Lock,Tucson,Lake Michaelfurt,AZ,48826,US,US/Eastern,KogN,2018-04-14 06:53:21.854057,26.6,0.0,74.1,29.3,10.1,ESE,2.8,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7148995,Source3,2,2021-07-11 13:12:49.034200,2021-07-11 14:23:49.034200,45.020652,-93.290308,45.017857,-93.291737,1.107,Four until first statement its size right.,April Spur,Minneapolis,New Davidview,MN,47936,US,US/Eastern,KOsR,2021-07-11 12:43:49.034200,49.4,0.0,23.2,30.6,10.7,SSW,5.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8535816,Source1,2,2022-07-26 05:35:13.819447,2022-07-26 09:17:13.819447,34.864343,-82.372801,34.861238,,0.588,Sign foreign color discussion yard big.,Eric Ports,Greenville,Lisamouth,SC,54831,US,US/Eastern,Kryd,2022-07-26 05:13:13.819447,1.8,0.0,113.3,29.76,10.6,SSW,3.4,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-5505102,Source1,2,2025-12-31 19:53:50.357725,2025-12-31 21:38:50.357725,34.853517,-82.450168,,-82.457701,1.958,Year draw man.,Lopez Bypass,Greenville,Port Anaburgh,SC,60835,US,US/Eastern,KUpy,2025-12-31 19:47:50.357725,73.9,0.0,86.2,28.68,11.3,Calm,0.5,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1580446,Source2,3,2018-11-14 14:43:45.066733,2018-11-14 16:33:45.066733,34.028497,-118.323144,34.020408,,1.808,Who challenge attorney together.,Mclaughlin Course,Los Angeles,Lanehaven,CA,23372,US,US/Eastern,KwTa,2018-11-14 14:22:45.066733,95.9,0.0,81.7,30.48,5.2,W,,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3205132,Source1,2,2020-04-01 11:17:26.014792,2020-04-01 14:19:26.014792,41.787147,-87.67772,,-87.678878,0.736,Collection court not west.,Humphrey Unions,Chicago,Stevenville,IL,44134,US,US/Eastern,KUpz,2020-04-01 10:48:26.014792,39.9,29.780391939128883,52.9,28.21,8.2,NW,14.5,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-9564216,Source2,2,2019-02-08 15:25:09.871867,2019-02-08 16:03:09.871867,33.902145,-84.453679,33.904328,-84.454268,1.403,Last trial space positive receive.,Stewart Creek,Atlanta,Christinafort,GA,37157,US,US/Eastern,KswV,2019-02-08 15:00:09.871867,56.2,0.0,60.0,29.25,7.3,West,3.9,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6940019,Source2,3,2024-04-04 03:11:43.717234,2024-04-04 07:01:43.717234,35.230428,-80.886649,35.23061,,3.937,Author face economic quickly hair window think.,Lyons Street,Charlotte,Richardsonhaven,NC,55687,US,US/Eastern,KLFu,2024-04-04 02:47:43.717234,42.6,,64.6,29.52,7.9,SW,1.7,,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6641795,Source1,2,2019-10-20 21:38:27.054128,2019-10-20 23:46:27.054128,44.98309,-93.007854,44.975808,,0.983,Reveal peace expert.,Davis Underpass,Saint Paul,Port Kendramouth,MN,52027,US,US/Eastern,KBIV,2019-10-20 21:15:27.054128,45.7,0.0,76.3,27.77,5.8,ESE,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4244130,Source2,2,2022-04-08 19:26:13.679068,2022-04-08 22:19:13.679068,29.685495,-95.396037,,,1.345,Wall chair media chair television speak next.,Salinas Walk,Houston,Lauraland,TX,20424,US,US/Eastern,KvqZ,2022-04-08 18:57:13.679068,56.4,,75.5,27.41,7.3,SW,11.5,0.0,Fair,False,False,False,False,True,False,False,False,True,False,False,False,False,Night,Night,Day,Day
A-7874939,Source2,2,2022-11-26 18:56:24.972335,2022-11-26 21:40:24.972335,29.758486,-95.481555,,,1.638,South television prevent government choice need.,Austin Streets,Houston,South Ryanstad,TX,26809,US,US/Eastern,Kkni,2022-11-26 18:30:24.972335,73.7,,76.6,28.64,5.7,N,5.8,0.21,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-6095998,Source2,2,2018-10-06 18:16:46.105351,2018-10-06 20:08:46.105351,30.237294,-81.446946,30.233995,,0.532,Friend suffer current boy exactly relationship.,Mccormick Burg,Jacksonville,Alexandermouth,FL,07747,US,US/Eastern,KFRk,2018-10-06 18:07:46.105351,60.0,,35.9,28.92,8.6,CALM,8.4,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-5151363,Source1,2,2021-06-24 15:43:34.539219,2021-06-24 16:12:34.539219,30.347288,-97.76137,30.336363,-97.766791,1.354,Lead me adult young contain truth.,James Viaduct,Austin,Haynesstad,TX,95299,US,US/Eastern,Kuxl,,66.9,0.0,80.1,30.14,7.5,E,4.4,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2754956,Source2,3,2025-07-05 06:34:31.547324,2025-07-05 07:48:31.547324,41.790995,-87.713478,,,1.313,Also in policy despite.,Adam Valleys,Chicago,Cervantesview,IL,76634,US,US/Eastern,KVFs,2025-07-05 06:29:31.547324,84.9,0.0,78.8,31.1,8.4,North,1.4,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-4753084,Source1,2,2024-05-27 00:19:18.083076,2024-05-27 03:05:18.083076,29.771085,-95.236651,29.768337,-95.248084,1.944,Study wide know.,Amanda Canyon,Houston,South Julie,TX,67275,US,US/Eastern,KJjr,2024-05-27 00:11:18.083076,79.3,,57.7,29.1,7.4,East,11.7,,Light Snow,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
A-8603105,Source2,4,2019-09-22 20:40:50.807233,2019-09-22 21:32:50.807233,25.781724,-80.356194,25.776756,-80.351062,1.52,Fire trip hard chance why task myself.,Brenda Heights,Miami,Lisaside,FL,24081,US,US/Eastern,Kxeb,2019-09-22 20:18:50.807233,44.4,,64.5,29.19,8.9,CALM,2.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
A-2240733,Source1,2,2025-10-16 02:15:04.379226,2025-10-16 05:46:04.379226,35.50364,-97.576811,,,2.805,Mission offer point price.,Angela Plains,Oklahoma City,Port Taylor,OK,99246,US,US/Eastern,KfXQ,2025-10-16 02:04:04.379226,111.7,0.0,52.2,31.46,10.3,E,11.9,0.0,Overcast,True,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7366510,Source1,2,2019-02-22 03:13:39.029483,2019-02-22 05:14:39.029483,45.056571,-93.26847,45.055051,-93.258039,2.14,Another project seven statement professor.,Gonzales Parkways,Minneapolis,Amberberg,MN,61188,US,US/Eastern,KAwh,2019-02-22 02:56:39.029483,47.9,39.53195226507264,48.6,29.54,9.1,VAR,12.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4594251,Source2,2,2019-05-18 04:22:21.267649,2019-05-18 06:02:21.267649,33.928337,-84.300109,,,0.229,Cover ahead job individual project space.,Nicole Tunnel,Atlanta,Andersonshire,GA,81390,US,US/Eastern,KWid,2019-05-18 04:01:21.267649,,0.0,88.8,30.74,6.7,WSW,14.8,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-2967989,Source1,2,2022-05-17 09:18:17.092186,2022-05-17 11:30:17.092186,45.004464,-93.373696,,-93.371427,0.338,Go break still.,Lori Summit,Minneapolis,Michaelport,MN,26147,US,US/Eastern,KRSO,2022-05-17 08:57:17.092186,59.4,0.0,91.4,30.84,9.9,NE,3.0,0.0,Cloudy / Windy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4825144,Source2,3,2023-12-24 02:51:44.701524,2023-12-24 04:14:44.701524,30.260031,-97.758825,,,1.337,Election east add none create road use.,Terri Views,Austin,Lawrenceview,TX,12837,US,US/Eastern,Kcpz,2023-12-24 02:28:44.701524,50.6,0.0,57.0,28.51,5.6,WNW,10.6,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1101866,Source1,2,2023-12-03 06:16:21.403612,2023-12-03 08:34:21.403612,35.730542,-78.640937,,-78.632887,3.474,Civil outside nation.,Berg Estates,Raleigh,Meyerton,NC,99631,US,US/Eastern,KIdO,2023-12-03 05:53:21.403612,54.2,0.0,44.9,29.82,10.9,WSW,10.8,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7121901,Source2,2,2019-09-02 15:12:49.709264,2019-09-02 18:36:49.709264,25.883939,-80.106154,25.883817,-80.121136,1.302,Many common wear material join idea evening little.,Joshua Course,Miami,Deanbury,FL,65777,US,US/Eastern,KdzP,2019-09-02 14:53:49.709264,59.2,,61.3,28.68,10.7,West,12.3,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-9376627,Source1,2,2019-06-23 22:56:59.197506,2019-06-23 23:39:59.197506,29.663932,-95.632952,,-95.636307,1.222,Doctor scientist certainly none such.,Carol Springs,Houston,East Matthewchester,TX,06255,US,US/Eastern,KPXw,2019-06-23 22:28:59.197506,37.4,0.0,47.6,28.52,8.5,NNW,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-7517532,Source1,2,2024-12-21 13:51:02.506649,2024-12-21 17:38:02.506649,35.866341,-78.559176,35.868429,-78.559343,0.727,Return lay sport system recent law out.,Miller Forest,Raleigh,Terryfurt,NC,39805,US,US/Eastern,KpUy,2024-12-21 13:27:02.506649,70.4,,42.8,29.28,16.7,WSW,8.7,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-596617,Source2,2,2018-12-03 00:54:00.052774,2018-12-03 03:24:00.052774,29.665095,-95.603142,29.660425,,0.087,Inside conference base example billion series.,Brent Terrace,Houston,Lake Sarah,TX,36782,US,US/Eastern,KuRN,2018-12-03 00:37:00.052774,75.7,,101.1,31.15,4.3,SE,13.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5728169,Source1,2,2024-05-09 04:39:13.618484,2024-05-09 07:26:13.618484,47.593205,-122.302141,47.604013,,0.909,Threat loss debate PM.,Michael Camp,Seattle,North Curtisstad,WA,51981,US,US/Eastern,KPQa,2024-05-09 04:11:13.618484,60.3,0.0,56.2,29.55,8.4,North,9.6,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-219206,Source2,2,2025-10-30 21:31:38.912838,2025-10-30 23:19:38.912838,32.837306,-96.719207,32.840004,,0.299,Case political material compare week difference role property.,Reynolds Highway,Dallas,Turnerburgh,TX,81408,US,US/Eastern,KjHv,2025-10-30 21:13:38.912838,44.3,0.0,40.5,32.25,6.2,NE,2.7,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-8889082,Source2,2,2022-08-22 01:45:25.899292,2022-08-22 05:18:25.899292,38.515376,-121.462849,38.514877,-121.465447,0.287,Career leave back likely.,Michael Camp,Sacramento,North David,CA,42896,US,US/Eastern,KpRz,2022-08-22 01:19:25.899292,57.0,0.0,23.7,28.24,3.5,ESE,13.0,,,False,False,False,False,True,False,False,False,True,False,False,False,False,Night,Night,Night,Night
